model,model_tag,mode,seed_count,exact_single_class_seeds,near_single_class_ge_90pct_seeds,majority_AD_ge_90pct_seeds,seeds_with_unused_output_class,seeds_macro_recall_within_0p02_of_one_third,mean_Accuracy,sample_sd_Accuracy,mean_Recall,sample_sd_Recall,mean_F1,sample_sd_F1,mean_pred_share_HC,mean_pred_share_FTD,mean_pred_share_AD,mean_subject_majority_Accuracy,row_normalized_confusion_mean_json,row_normalized_confusion_sample_sd_json
GPT-4.1-mini,gpt41_mini_fastfill_v1,non-reasoning,5,2,4,3,4,5,0.4047378481703987,0.05133379057978936,0.3334904605148619,0.00048125677245570677,0.2097151941881691,0.027711131503717387,0.3735390496996177,9.557618787547789e-05,0.6263653741125068,0.3789473684210526,"[[0.3738362760834671, 0.0001203852327447833, 0.6260433386837881], [0.37348866498740557, 6.297229219143577e-05, 0.626448362720403], [0.37333538840937114, 9.247842170160296e-05, 0.6265721331689272]]","[[0.49711917408548223, 0.00026918956390446905, 0.4970182209526232], [0.5028741886459318, 0.00014081032603902957, 0.5028197843042984], [0.4978245426402854, 0.000206788037376676, 0.4977464782457718]]"
GPT-4o,gpt4o_nonthinking_retrymax5_v1,non-reasoning,5,0,2,1,2,4,0.3373566357181868,0.08423711798936619,0.3264191987559722,0.01337589190557235,0.2261505649667483,0.03882394586339865,0.2899371927908247,0.312602403058438,0.3974604041507373,0.32631578947368417,"[[0.2924959871589085, 0.31865971107544144, 0.3888443017656501], [0.28709068010075567, 0.29345088161209065, 0.4194584382871536], [0.28936498150431567, 0.3173242909987669, 0.3933107274969173]]","[[0.38756040763445987, 0.4043815150725009, 0.42807714701893473], [0.3903738942064996, 0.37540182129949967, 0.42304566081153805], [0.3869809222987274, 0.3940865339391096, 0.4154212954244148]]"
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,5,0,2,2,0,4,0.3815674494811578,0.10821719769682112,0.3534680171528501,0.023842651265008435,0.23962794802789844,0.05866313068782598,0.02860458765701802,0.35057345712725285,0.6208219552157291,0.36842105263157887,"[[0.06039325842696629, 0.34662921348314607, 0.5929775280898876], [0.007745591939546601, 0.36227959697733, 0.6299748110831234], [0.01439580764488286, 0.3478729963008631, 0.637731196054254]]","[[0.0788460730899499, 0.46792328862245824, 0.46071589612566227], [0.013025145441444685, 0.46906023679486825, 0.46564653774135806], [0.017724561726489705, 0.46237082513697375, 0.45970905966747294]]"
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,5,0,1,1,0,4,0.37570999453850357,0.07625386139539406,0.3421098659980345,0.013922528322333486,0.2631189553240797,0.03899358183633897,0.05069634079737848,0.3352676133260513,0.6140360458765701,0.3789473684210526,"[[0.06946227929373996, 0.36581059390048154, 0.5647271268057785], [0.04338790931989924, 0.31731738035264484, 0.6392947103274559], [0.039858199753390874, 0.3205918618988902, 0.6395499383477188]]","[[0.0683526259872546, 0.3754619597543649, 0.38166300176174245], [0.04190461836293998, 0.34269508971177215, 0.347908920737114], [0.0409283916638209, 0.34366216615447864, 0.34942150327331845]]"
GLM-5,glm5_reasoning_v1,reasoning,5,0,5,5,4,5,0.4455761878754779,0.00786978589724688,0.3379306501279588,0.008417326931862073,0.2225993637808014,0.02316293215420899,0.01817312943746587,0.002799016930638995,0.9790278536318953,0.42105263157894735,"[[0.02981540930979133, 0.0014044943820224719, 0.9687800963081863], [0.009634760705289673, 0.0017632241813602015, 0.9886020151133501], [0.013409371146732426, 0.0043773119605425405, 0.982213316892725]]","[[0.04086542290527889, 0.0031405449122188056, 0.03968824604829117], [0.014941163342339624, 0.003942689129092828, 0.01401115812301663], [0.019414657205001365, 0.009363107192933713, 0.01808479319587159]]"
