model,model_tag,mode,seed,Accuracy,Precision,Recall,F1,AUROC,AUPRC,pred_share_HC,pred_share_FTD,pred_share_AD,dominant_class,dominant_class_share,recall_HC,recall_FTD,recall_AD,unused_output_classes,near_unused_output_classes_le_2pct,hard_label_entropy_normalized,window_label_mutual_information_nats,mean_max_probability,mean_top1_margin,mean_probability_entropy,prob_std_HC,prob_std_FTD,prob_std_AD,exact_unique_probability_rows,unique_probability_rows_rounded_6dp,subject_majority_Accuracy,subject_majority_Precision_macro,subject_majority_Recall_macro,subject_majority_F1_macro,subject_majority_confusion_json,failure_flags
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,41,0.4436783178590934,0.6882704059295435,0.33430864319310194,0.20786443415203623,0.5445271855039366,0.38541868651171113,0.0025259421081376297,6.826870562534134e-05,0.997405789186237,AD,0.997405789186237,0.004614767255216694,0.00031486146095717883,0.997996300863132,,HC;FTD,0.016706254725266594,0.0007041075175284466,0.5317379517447988,0.29311157192545406,1.0128969194307815,0.02310377200344188,0.015858516013031055,0.036265300205966855,14648,14647,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,42,0.4452484980884762,0.5676465687805894,0.336300828948664,0.2135246089333617,0.5490092612720066,0.38652969082664224,0.006007646095030038,0.0006826870562534135,0.9933096668487166,AD,0.9933096668487166,0.011637239165329053,0.001889168765743073,0.9953760789149199,,HC;FTD,0.03856845045092139,0.0018682758736526985,0.8743085773123628,0.7915960643369466,0.4108300302751142,0.07662282940015583,0.04967989998365579,0.11022477736964394,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,43,0.2632441288913162,0.5114910505321583,0.3500581546859791,0.21229091656606272,0.5439312097012858,0.38499420111271926,0.015155652648825778,0.8639404696886948,0.12090387766247952,FTD,0.8639404696886948,0.036115569823434994,0.8765743073047859,0.1374845869297164,,HC,0.40531691041849705,0.008684332240419215,0.3522306697377251,0.02048406521589787,1.0973102660399705,0.009623421101911316,0.011414081172533124,0.008437982922802628,14648,14648,0.2631578947368421,0.08771929824561403,0.3333333333333333,0.1388888888888889,"[[0, 6, 0], [0, 5, 0], [0, 8, 0]]",near_unused_output_class;macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,44,0.2662479519388312,0.4718501761502208,0.35319950638890085,0.22018965236389024,0.5420058308716382,0.3791005677042758,0.025737302020753687,0.8570453304205352,0.11721736755871108,FTD,0.8570453304205352,0.05236757624398074,0.8743702770780857,0.13286066584463624,,,0.43480963191586325,0.008760657087445257,0.3517176241735234,0.02036760755672284,1.0973898885850768,0.00995136148455374,0.011608644092025241,0.008327733131787848,14648,14648,0.2631578947368421,0.08771929824561403,0.3333333333333333,0.1388888888888889,"[[0, 6, 0], [0, 5, 0], [0, 8, 0]]",macro_recall_near_one_third
Qwen3-235B-A22B Thinking 2507,qwen3_235b_a22b_thinking_2507_v1,reasoning,45,0.4894183506280721,0.5302522874452088,0.39347295254760456,0.3442701281241414,0.5727333194857659,0.4316541611005325,0.09359639541234298,0.03113052976515565,0.8752730748225014,AD,0.8752730748225014,0.19723113964686997,0.058249370277078084,0.9249383477188656,,,0.40625839752185317,0.03410572103332639,0.7408634678242788,0.5821952945994409,0.6313243370092813,0.16422574029265619,0.12942225402526067,0.24232643623124908,14648,14595,0.47368421052631576,0.48148148148148145,0.3888888888888889,0.30036630036630035,"[[1, 0, 5], [0, 0, 5], [0, 0, 8]]",
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,41,0.4135718186783179,0.3828470040603917,0.34562250540739226,0.2857366700888479,0.5286200734076311,0.36029959077833834,0.02799016930638995,0.1907427635172037,0.7812670671764064,AD,0.7812670671764064,0.03932584269662921,0.18419395465994962,0.813347718865598,,,0.5543037655236848,0.003840219077624841,0.7902346885390727,0.6026725938844738,0.4784041472535262,0.1308556783753914,0.2072146444169348,0.2910739659441809,14648,14613,0.3684210526315789,0.1372549019607843,0.2916666666666667,0.18666666666666668,"[[0, 1, 5], [0, 0, 5], [0, 1, 7]]",macro_recall_near_one_third
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,42,0.4421764063353359,0.44336517847068113,0.3339904433791882,0.21101191054675436,0.5290678865175013,0.3622682311897984,0.0024576734025122883,0.007509557618787548,0.9900327689787002,AD,0.9900327689787002,0.005417335473515248,0.004722921914357683,0.9918310727496917,,HC;FTD,0.055905085447349734,0.0012180164384322273,0.5223473549827073,0.22194968846457006,0.9882274156546988,0.05670201934081595,0.040117767480729684,0.0873897509255751,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,43,0.3169033315128345,0.3523136625644347,0.3223374733862165,0.26351675509991596,0.508652220839784,0.3447963771372626,0.02027580557072638,0.5836291643910432,0.3960950300382305,FTD,0.5836291643910432,0.021468699839486356,0.48299748110831237,0.4625462392108508,,,0.6919128340010583,0.025192408018604534,0.4739678998633507,0.04943223168023539,0.9295125750969948,0.07841790057092665,0.04814744253673726,0.053954746652683995,14648,14648,0.3684210526315789,0.33888888888888885,0.39166666666666666,0.3,"[[0, 6, 0], [0, 4, 1], [0, 5, 3]]",macro_recall_near_one_third
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,44,0.272596941561988,0.4118630513531467,0.3564165160006137,0.24279370274375686,0.5321947956249709,0.36618498863203075,0.07700709994538503,0.8200436919716002,0.10294920808301475,FTD,0.8200436919716002,0.11536918138041734,0.8365869017632241,0.11729346485819975,,,0.5408523389608179,0.005993240366435283,0.61009396135165,0.3348630126181674,0.8620986862817549,0.1428490348795663,0.1664296993198043,0.10851190388739602,14648,14648,0.2631578947368421,0.08771929824561403,0.3333333333333333,0.1388888888888889,"[[0, 6, 0], [0, 5, 0], [0, 8, 0]]",
Gemini 3 Flash Thinking,gemini3_flash_preview_thinking_explicit_v1,reasoning,45,0.4333014746040415,0.3753389475971814,0.352182391816762,0.31253573814112356,0.529538522980567,0.3573440717038893,0.12575095576187875,0.07441288913162207,0.7998361551064992,AD,0.7998361551064992,0.16573033707865167,0.07808564231738035,0.812731196054254,,,0.5759217690706333,0.004218317495322577,0.516264528721179,0.1894510204274655,0.9691840920244519,0.14920431559089223,0.0618030591845932,0.1230159821427477,14648,14648,0.47368421052631576,0.48148148148148145,0.3888888888888889,0.30036630036630035,"[[1, 0, 5], [0, 0, 5], [0, 0, 8]]",macro_recall_near_one_third
GLM-5,glm5_reasoning_v1,reasoning,41,0.4429273620972146,0.3143065228276207,0.3333488371172462,0.2047644764604006,0.5299384825372525,0.361698901447641,0.00013653741125068268,0.0,0.9998634625887494,AD,0.9998634625887494,0.00020064205457463884,0.0,0.999845869297164,FTD,HC;FTD,0.001230245190318814,3.455536651770415e-05,0.9965235852590941,0.9934354413532557,0.015656261499065016,0.017456433262345555,0.0012453147000382246,0.018381924925357274,14648,8044,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GLM-5,glm5_reasoning_v1,reasoning,42,0.4508465319497542,0.31764056217474157,0.3454015447046661,0.2489500447436964,0.5044442391265931,0.3508286467672554,0.05324959038776625,0.0,0.9467504096122338,AD,0.9467504096122338,0.0790529695024077,0.0,0.9571516646115906,FTD,FTD,0.1893065639955441,0.003385009031835797,0.9564592894631075,0.9192466146664777,0.13548137023381476,0.16754069273402403,0.014918187722963381,0.17186353200579207,210,209,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GLM-5,glm5_reasoning_v1,reasoning,43,0.4557618787547788,0.3613300086569326,0.34838750751273784,0.24689660109893496,0.5314685299004981,0.35849455117954054,0.03741125068268706,0.00034134352812670673,0.9622474057891862,AD,0.9622474057891862,0.06982343499197431,0.0,0.9753390875462392,,FTD,0.1480785561087684,0.0076592757501322065,0.5782435631535852,0.16787400980946365,0.706118970964491,0.019576103802235154,0.04493680532131513,0.056290005510915946,14648,14553,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;near_unused_output_class;macro_recall_near_one_third
GLM-5,glm5_reasoning_v1,reasoning,44,0.4354860731840524,0.19319213732004434,0.32923340487275615,0.20776460993588527,0.5412613370802344,0.36906544176532113,0.0,0.013653741125068269,0.9863462588749318,AD,0.9863462588749318,0.0,0.008816120906801008,0.9788840937114673,HC,HC;FTD,0.06570629174094993,0.001675746436247042,0.4562412152307987,0.10245903793828667,1.0406943184721176,0.007341955986045611,0.012096641930984352,0.01505899760133466,14648,14648,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
GLM-5,glm5_reasoning_v1,reasoning,45,0.4428590933915893,0.14762977629093557,0.333281956432388,0.20462108666508952,0.5117490989592967,0.3485355037047126,6.826870562534134e-05,0.0,0.9999317312943746,AD,0.9999317312943746,0.0,0.0,0.999845869297164,FTD,HC;FTD,0.0006581974740589435,5.559751670802772e-05,0.5868702898663889,0.3480781290296189,0.956406349249797,0.01847823464283974,0.02344092643753244,0.029405340718632562,144,144,0.42105263157894735,0.14035087719298245,0.3333333333333333,0.19753086419753085,"[[0, 0, 6], [0, 0, 5], [0, 0, 8]]",near_single_class_concentration;majority_AD_concentration;unused_output_class;near_unused_output_class;macro_recall_near_one_third
